"condition","temp","psych","InCS","NFC","InJu1","InJu2","gender","age","j1","j2","j3","j4","j5","j6","ch1","ch2","ch3","ch4","ch5","temp_psych"
"long","short","long","It's wrong and I can provide a valid reason.",6,1,1,"Male",42,"wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,"control_long"
"long","short","long","It's wrong and I can provide a valid reason.",10,1,1,"Female",55,"wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,"control_long"
"long","short","long","It's wrong and I can provide a valid reason.",6,1,1,"Male",37,"wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,"control_long"
"long","short","long","It's wrong and I can provide a valid reason.",5,1,1,"Female",40,"wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,"control_long"
"long","short","long","It's wrong and I can provide a valid reason.",6,4,4,"Male",38,"not wrong","not wrong","not wrong","not wrong","wrong","not wrong",FALSE,FALSE,FALSE,TRUE,TRUE,"control_long"
"long","short","long","It's wrong and I can provide a valid reason.",3,1,1,"Female",55,"wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,"control_long"
"long","short","long","It's wrong and I can provide a valid reason.",7,1,1,"Male",32,"wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,"control_long"
"long","short","long","It's wrong and I can provide a valid reason.",7,1,1,"Female",42,"wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,"control_long"
"long","short","long","It's wrong and I can provide a valid reason.",3,1,1,"Female",32,"wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,"control_long"
"long","short","long","It's wrong and I can provide a valid reason.",10,1,1,"Male",24,"wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,"control_long"
"long","short","long","It's wrong and I can provide a valid reason.",2,1,1,"Male",42,"wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,"control_long"
"long","short","long","It's wrong and I can provide a valid reason.",6,1,1,"Female",26,"wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,"control_long"
"long","short","long","It's wrong and I can provide a valid reason.",6,1,1,"Female",58,"wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,"control_long"
"long","short","long","It's wrong and I can provide a valid reason.",6,1,1,"Male",34,"wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,"control_long"
"long","short","long","It's wrong and I can provide a valid reason.",2,1,1,"Male",25,"wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,"control_long"
"long","short","long","It's wrong and I can provide a valid reason.",0,1,1,"Female",31,"wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,"control_long"
"long","short","long","It's wrong and I can provide a valid reason.",7,1,1,"Female",60,"wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,"control_long"
"long","short","long","It's wrong and I can provide a valid reason.",3,1,1,"Female",72,"wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,"control_long"
"long","short","long","It's wrong and I can provide a valid reason.",8,1,1,"Male",32,"wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,"control_long"
"long","short","long","It's wrong and I can provide a valid reason.",2,1,1,"Male",29,"wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,"control_long"
"long","short","long","It's wrong and I can provide a valid reason.",4,3,2,"Female",39,"wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,"control_long"
"long","short","long","It's wrong and I can provide a valid reason.",5,2,2,"Female",51,"wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,"control_long"
"long","short","long","It's wrong and I can provide a valid reason.",10,1,2,"Female",26,"wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,"control_long"
"long","short","long","It's wrong and I can provide a valid reason.",2,1,1,"Female",39,"wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,"control_long"
"long","short","long","It's wrong and I can provide a valid reason.",8,1,1,"Female",41,"wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,"control_long"
"long","short","long","It's wrong and I can provide a valid reason.",6,1,1,"Male",30,"wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,"control_long"
"control","short","control","There is nothing wrong.",5,6,6,"Male",24,"not wrong","not wrong","wrong","not wrong","not wrong","not wrong",FALSE,TRUE,TRUE,FALSE,FALSE,"control_short"
"control","short","control","There is nothing wrong.",6,6,6,"Male",22,"not wrong","not wrong","not wrong","not wrong","not wrong","not wrong",FALSE,FALSE,FALSE,FALSE,FALSE,"control_short"
"control","short","control","There is nothing wrong.",6,7,7,"Female",27,"not wrong","not wrong","not wrong","not wrong","not wrong","not wrong",FALSE,FALSE,FALSE,FALSE,FALSE,"control_short"
"control","short","control","There is nothing wrong.",6,5,5,"Male",30,"not wrong","not wrong","not wrong","not wrong","not wrong","not wrong",FALSE,FALSE,FALSE,FALSE,FALSE,"control_short"
"control","short","control","There is nothing wrong.",1,4,4,"Female",39,"not wrong","not wrong","not wrong","not wrong","not wrong","not wrong",FALSE,FALSE,FALSE,FALSE,FALSE,"control_short"
"control","short","control","There is nothing wrong.",2,4,4,"Female",52,"not wrong","not wrong","not wrong","not wrong","not wrong","not wrong",FALSE,FALSE,FALSE,FALSE,FALSE,"control_short"
"control","short","control","There is nothing wrong.",4,4,4,"Female",32,"not wrong","not wrong","not wrong","not wrong","not wrong","not wrong",FALSE,FALSE,FALSE,FALSE,FALSE,"control_short"
"control","short","control","There is nothing wrong.",1,4,4,"Female",42,"not wrong","not wrong","not wrong","not wrong","not wrong","not wrong",FALSE,FALSE,FALSE,FALSE,FALSE,"control_short"
"control","short","control","There is nothing wrong.",7,7,7,"Female",59,"not wrong","not wrong","not wrong","not wrong","not wrong","not wrong",FALSE,FALSE,FALSE,FALSE,FALSE,"control_short"
"control","short","control","There is nothing wrong.",9,7,7,"Male",63,"not wrong","not wrong","not wrong","not wrong","not wrong","not wrong",FALSE,FALSE,FALSE,FALSE,FALSE,"control_short"
"control","short","control","There is nothing wrong.",4,4,4,"Male",38,"not wrong","not wrong","not wrong","not wrong","not wrong","not wrong",FALSE,FALSE,FALSE,FALSE,FALSE,"control_short"
"control","short","control","There is nothing wrong.",2,3,4,"Male",37,"wrong","not wrong","not wrong","not wrong","not wrong","not wrong",TRUE,FALSE,FALSE,FALSE,FALSE,"control_short"
"control","short","control","It's wrong but I can't think of a reason.",6,2,2,"Male",30,"wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,"control_short"
"control","short","control","It's wrong but I can't think of a reason.",4,2,2,"Male",30,"wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,"control_short"
"control","short","control","It's wrong but I can't think of a reason.",3,6,6,"Female",30,"not wrong","wrong","wrong","wrong","wrong","not wrong",TRUE,FALSE,FALSE,FALSE,TRUE,"control_short"
"control","short","control","It's wrong and I can provide a valid reason.",4,4,4,"Male",27,"not wrong","not wrong","wrong","wrong","wrong","not wrong",FALSE,TRUE,FALSE,FALSE,TRUE,"control_short"
"control","short","control","It's wrong and I can provide a valid reason.",7,2,2,"Female",45,"wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,"control_short"
"control","short","control","It's wrong and I can provide a valid reason.",4,1,1,"Male",31,"wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,"control_short"
"control","short","control","There is nothing wrong.",5,5,6,"Female",60,"not wrong","not wrong","not wrong","not wrong","not wrong","not wrong",FALSE,FALSE,FALSE,FALSE,FALSE,"control_short"
"control","short","control","There is nothing wrong.",8,4,4,"Male",55,"not wrong","not wrong","not wrong","not wrong","not wrong","not wrong",FALSE,FALSE,FALSE,FALSE,FALSE,"control_short"
"control","short","control","There is nothing wrong.",0,4,4,"Male",37,"not wrong","not wrong","not wrong","not wrong","not wrong","not wrong",FALSE,FALSE,FALSE,FALSE,FALSE,"control_short"
"control","short","control","There is nothing wrong.",2,3,3,"Female",30,"wrong","not wrong","not wrong","not wrong","not wrong","wrong",TRUE,FALSE,FALSE,FALSE,TRUE,"control_short"
"control","short","control","There is nothing wrong.",6,7,4,"Female",55,"not wrong","wrong","wrong","wrong","not wrong","not wrong",TRUE,FALSE,FALSE,TRUE,FALSE,"control_short"
