"condition","temp","psych","InCS","NFC","InJu1","InJu2","gender","age","temp_psych"
"short","short","short","It's wrong and I can provide a valid reason.",163,1,1,"Male",29,"short_short"
"short","short","short","It's wrong and I can provide a valid reason.",NA,2,2,"Female",31,"short_short"
"short","short","short","It's wrong and I can provide a valid reason.",191,1,1,"Male",57,"short_short"
"short","short","short","It's wrong and I can provide a valid reason.",173,1,1,"Female",32,"short_short"
"short","short","short","There is nothing wrong.",NA,7,7,"Male",32,"short_short"
"short","short","short","It's wrong and I can provide a valid reason.",209,1,1,"Male",33,"short_short"
"short","short","short","There is nothing wrong.",194,6,6,"Male",42,"short_short"
"short","short","short","There is nothing wrong.",173,6,6,"Male",35,"short_short"
"short","short","short","It's wrong and I can provide a valid reason.",167,4,3,"Female",27,"short_short"
"short","short","short","It's wrong and I can provide a valid reason.",172,1,1,"Male",37,"short_short"
"short","short","short","There is nothing wrong.",180,6,5,"Female",48,"short_short"
"short","short","short","It's wrong but I can't think of a reason.",161,1,1,"Female",39,"short_short"
"short","short","short","There is nothing wrong.",145,4,4,"Male",31,"short_short"
"short","short","short","There is nothing wrong.",159,6,6,"Male",64,"short_short"
"short","short","short","It's wrong and I can provide a valid reason.",163,1,1,"Female",31,"short_short"
"short","short","short","It's wrong and I can provide a valid reason.",158,1,1,"Female",27,"short_short"
"short","short","short","It's wrong and I can provide a valid reason.",164,1,1,"Female",57,"short_short"
"short","short","short","It's wrong and I can provide a valid reason.",163,1,1,"Female",36,"short_short"
"short","short","short","It's wrong and I can provide a valid reason.",176,1,1,"Female",24,"short_short"
"short","short","short","It's wrong and I can provide a valid reason.",181,1,1,"Female",51,"short_short"
"short","short","short","It's wrong and I can provide a valid reason.",170,1,1,"Female",58,"short_short"
"short","short","short","It's wrong and I can provide a valid reason.",242,1,1,"Male",35,"short_short"
"short","short","short","There is nothing wrong.",180,1,5,"Male",42,"short_short"
"short","short","short","There is nothing wrong.",194,7,7,"Female",39,"short_short"
"short","short","short","It's wrong and I can provide a valid reason.",134,4,4,"Female",26,"short_short"
"short","short","short","It's wrong but I can't think of a reason.",NA,1,1,"Female",39,"short_short"
"short","short","short","It's wrong and I can provide a valid reason.",NA,1,1,"Female",65,"short_short"
"long","long","short","It's wrong and I can provide a valid reason.",224,1,1,"Female",40,"long_short"
"long","long","short","It's wrong and I can provide a valid reason.",166,1,1,"Female",33,"long_short"
"long","long","short","It's wrong and I can provide a valid reason.",157,1,1,"Male",49,"long_short"
"long","long","short","There is nothing wrong.",150,4,4,"Male",50,"long_short"
"long","long","short","It's wrong and I can provide a valid reason.",182,1,1,"Female",28,"long_short"
"long","long","short","It's wrong but I can't think of a reason.",122,1,2,"Male",27,"long_short"
"long","long","short","It's wrong and I can provide a valid reason.",195,1,1,"Male",53,"long_short"
"long","long","short","It's wrong and I can provide a valid reason.",175,1,1,"Female",50,"long_short"
"long","long","short","It's wrong and I can provide a valid reason.",153,2,2,"Male",35,"long_short"
"long","long","short","It's wrong and I can provide a valid reason.",151,1,1,"Female",54,"long_short"
"long","long","short","It's wrong and I can provide a valid reason.",NA,1,1,"Female",28,"long_short"
"long","long","short","It's wrong and I can provide a valid reason.",145,1,1,"Female",64,"long_short"
"long","long","short","It's wrong and I can provide a valid reason.",186,1,1,"Female",56,"long_short"
"long","long","short","It's wrong and I can provide a valid reason.",159,1,1,"Female",47,"long_short"
"long","long","short","It's wrong and I can provide a valid reason.",137,1,1,"Male",25,"long_short"
"long","long","short","It's wrong and I can provide a valid reason.",135,3,3,"Male",28,"long_short"
"long","long","short","It's wrong but I can't think of a reason.",131,3,3,"Female",34,"long_short"
"long","long","short","It's wrong and I can provide a valid reason.",180,1,1,"Male",59,"long_short"
"long","long","short","It's wrong and I can provide a valid reason.",148,1,1,"Female",22,"long_short"
"long","long","short","It's wrong and I can provide a valid reason.",177,1,1,"Male",40,"long_short"
"long","long","short","It's wrong and I can provide a valid reason.",NA,1,1,"Male",63,"long_short"
"long","long","short","There is nothing wrong.",162,5,5,"Female",23,"long_short"
"long","long","short","It's wrong and I can provide a valid reason.",157,2,2,"Female",30,"long_short"
"long","long","short","It's wrong and I can provide a valid reason.",166,1,1,"Male",24,"long_short"
"long","long","short","It's wrong and I can provide a valid reason.",NA,1,1,"Male",31,"long_short"
"long","long","short","There is nothing wrong.",134,6,6,"Female",40,"long_short"
"long","long","short","It's wrong and I can provide a valid reason.",NA,1,1,"Female",31,"long_short"
"long","long","short","It's wrong and I can provide a valid reason.",NA,1,1,"Female",44,"long_short"
"long","long","short","It's wrong and I can provide a valid reason.",NA,1,1,"Female",49,"long_short"
"long","long","short","It's wrong and I can provide a valid reason.",176,1,1,"Male",28,"long_short"
"long","long","short","It's wrong and I can provide a valid reason.",174,1,1,"Female",30,"long_short"
"long","long","short","It's wrong but I can't think of a reason.",NA,1,2,"Female",32,"long_short"
"long","long","short","It's wrong and I can provide a valid reason.",210,1,1,"Female",45,"long_short"
"long","long","short","There is nothing wrong.",146,7,7,"Female",44,"long_short"
"long","long","short","There is nothing wrong.",NA,4,4,"Female",47,"long_short"
"long","long","short","It's wrong and I can provide a valid reason.",141,1,1,"Female",24,"long_short"
"long","long","short","There is nothing wrong.",176,3,4,"Male",40,"long_short"
"long","long","short","It's wrong and I can provide a valid reason.",164,1,1,"Female",36,"long_short"
"short","short","long","It's wrong and I can provide a valid reason.",175,1,1,"Female",37,"short_long"
"short","short","long","It's wrong and I can provide a valid reason.",174,3,3,"Female",31,"short_long"
"short","short","long","It's wrong and I can provide a valid reason.",143,2,2,"Female",20,"short_long"
"short","short","long","There is nothing wrong.",165,4,4,"Male",46,"short_long"
"short","short","long","It's wrong and I can provide a valid reason.",190,1,1,"Male",52,"short_long"
"short","short","long","There is nothing wrong.",151,7,7,"Male",30,"short_long"
"short","short","long","It's wrong and I can provide a valid reason.",180,1,1,"Female",50,"short_long"
"short","short","long","It's wrong and I can provide a valid reason.",201,1,1,"Female",35,"short_long"
"short","short","long","It's wrong and I can provide a valid reason.",148,1,1,"Male",36,"short_long"
"short","short","long","It's wrong and I can provide a valid reason.",142,1,1,"Female",44,"short_long"
"short","short","long","There is nothing wrong.",180,3,4,"Female",31,"short_long"
"short","short","long","It's wrong and I can provide a valid reason.",180,1,1,"Male",67,"short_long"
"short","short","long","It's wrong and I can provide a valid reason.",173,1,1,"Female",52,"short_long"
"short","short","long","There is nothing wrong.",138,7,7,"Male",63,"short_long"
"short","short","long","It's wrong and I can provide a valid reason.",208,1,1,"Female",41,"short_long"
"short","short","long","It's wrong and I can provide a valid reason.",166,1,1,"Female",50,"short_long"
"short","short","long","There is nothing wrong.",176,4,4,"Female",40,"short_long"
"short","short","long","It's wrong and I can provide a valid reason.",155,1,1,"Female",34,"short_long"
"short","short","long","It's wrong and I can provide a valid reason.",156,1,1,"Female",58,"short_long"
"short","short","long","It's wrong and I can provide a valid reason.",123,1,1,"Female",35,"short_long"
"short","short","long","It's wrong and I can provide a valid reason.",182,1,1,"Female",31,"short_long"
"short","short","long","It's wrong and I can provide a valid reason.",173,1,1,"Female",26,"short_long"
"short","short","long","It's wrong and I can provide a valid reason.",170,1,1,"Female",61,"short_long"
"short","short","long","It's wrong and I can provide a valid reason.",190,2,1,"Female",30,"short_long"
"short","short","long","It's wrong and I can provide a valid reason.",141,1,1,"Female",36,"short_long"
"short","short","long","It's wrong and I can provide a valid reason.",153,1,1,"Female",29,"short_long"
"short","short","long","It's wrong and I can provide a valid reason.",196,1,1,"Female",38,"short_long"
"short","short","long","It's wrong but I can't think of a reason.",162,5,5,"Female",31,"short_long"
"short","short","long","There is nothing wrong.",149,4,4,"Male",26,"short_long"
"short","short","long","It's wrong and I can provide a valid reason.",142,1,2,"Male",22,"short_long"
"short","short","long","It's wrong but I can't think of a reason.",208,1,4,"Female",33,"short_long"
"short","short","long","It's wrong and I can provide a valid reason.",187,1,1,"Female",49,"short_long"
"short","short","long","It's wrong and I can provide a valid reason.",156,1,1,"Female",49,"short_long"
"short","short","long","It's wrong and I can provide a valid reason.",171,1,1,"Female",35,"short_long"
"short","short","long","It's wrong and I can provide a valid reason.",148,1,1,"Female",55,"short_long"
"short","short","long","It's wrong and I can provide a valid reason.",161,1,1,"Female",41,"short_long"
"short","short","long","It's wrong and I can provide a valid reason.",186,1,1,"Female",26,"short_long"
"short","short","long","It's wrong and I can provide a valid reason.",185,1,1,"Female",24,"short_long"
"short","short","long","It's wrong and I can provide a valid reason.",174,1,1,"Female",40,"short_long"
"short","short","long","It's wrong and I can provide a valid reason.",139,1,2,"Female",22,"short_long"
"short","short","long","It's wrong and I can provide a valid reason.",211,1,1,"Male",43,"short_long"
"short","short","long","It's wrong and I can provide a valid reason.",140,1,1,"Female",65,"short_long"
"short","short","long","It's wrong and I can provide a valid reason.",158,1,1,"Male",60,"short_long"
"short","short","long","It's wrong and I can provide a valid reason.",198,2,2,"Female",31,"short_long"
"short","short","long","It's wrong and I can provide a valid reason.",142,1,1,"Male",31,"short_long"
"short","short","long","It's wrong and I can provide a valid reason.",130,1,1,"Female",26,"short_long"
"short","short","long","It's wrong and I can provide a valid reason.",196,1,1,"Female",65,"short_long"
"short","short","long","It's wrong but I can't think of a reason.",164,1,1,"Female",40,"short_long"
"long","long","long","It's wrong and I can provide a valid reason.",182,1,1,"Male",45,"long_long"
"long","long","long","It's wrong and I can provide a valid reason.",179,1,1,"Male",31,"long_long"
"long","long","long","It's wrong and I can provide a valid reason.",218,1,1,"Female",30,"long_long"
"long","long","long","It's wrong and I can provide a valid reason.",172,2,2,"Female",45,"long_long"
"long","long","long","It's wrong and I can provide a valid reason.",214,1,1,"Female",38,"long_long"
"long","long","long","It's wrong and I can provide a valid reason.",174,1,1,"Female",45,"long_long"
"long","long","long","It's wrong and I can provide a valid reason.",172,1,1,"Female",25,"long_long"
"long","long","long","It's wrong and I can provide a valid reason.",176,1,1,"Female",66,"long_long"
"long","long","long","It's wrong and I can provide a valid reason.",204,2,2,"Male",32,"long_long"
"long","long","long","It's wrong and I can provide a valid reason.",171,1,1,"Female",60,"long_long"
"long","long","long","It's wrong and I can provide a valid reason.",151,1,1,"Female",26,"long_long"
"long","long","long","It's wrong and I can provide a valid reason.",185,2,2,"Male",27,"long_long"
"long","long","long","It's wrong and I can provide a valid reason.",151,1,1,"Male",37,"long_long"
"long","long","long","It's wrong but I can't think of a reason.",183,1,1,"Female",36,"long_long"
"long","long","long","It's wrong and I can provide a valid reason.",131,1,1,"Female",30,"long_long"
"long","long","long","It's wrong and I can provide a valid reason.",111,1,1,"Female",33,"long_long"
"long","long","long","It's wrong and I can provide a valid reason.",146,1,1,"Female",25,"long_long"
"long","long","long","It's wrong and I can provide a valid reason.",147,1,1,"Female",34,"long_long"
"long","long","long","It's wrong and I can provide a valid reason.",175,1,1,"Female",49,"long_long"
"long","long","long","It's wrong and I can provide a valid reason.",190,1,1,"Male",43,"long_long"
"long","long","long","It's wrong and I can provide a valid reason.",177,1,1,"Male",21,"long_long"
"long","long","long","It's wrong and I can provide a valid reason.",182,1,3,"Male",32,"long_long"
"long","long","long","It's wrong but I can't think of a reason.",174,1,1,"Female",22,"long_long"
"long","long","long","It's wrong and I can provide a valid reason.",160,2,1,"Female",27,"long_long"
"long","long","long","It's wrong and I can provide a valid reason.",155,2,2,"Female",31,"long_long"
"long","long","long","It's wrong and I can provide a valid reason.",190,1,1,"Female",39,"long_long"
"long","long","long","It's wrong and I can provide a valid reason.",169,1,1,"Female",55,"long_long"
"long","long","long","It's wrong and I can provide a valid reason.",178,1,1,"Female",40,"long_long"
"long","long","long","It's wrong and I can provide a valid reason.",123,3,2,"Female",55,"long_long"
"long","long","long","It's wrong and I can provide a valid reason.",151,2,2,"Female",35,"long_long"
"long","long","long","There is nothing wrong.",173,5,5,"Female",57,"long_long"
"long","long","long","It's wrong and I can provide a valid reason.",178,1,1,"Female",37,"long_long"
"long","long","long","It's wrong and I can provide a valid reason.",158,2,2,"Male",37,"long_long"
"long","long","long","It's wrong and I can provide a valid reason.",169,1,1,"Male",55,"long_long"
"long","long","long","It's wrong and I can provide a valid reason.",125,3,2,"Female",35,"long_long"
"long","long","long","It's wrong and I can provide a valid reason.",172,1,1,"Female",52,"long_long"
"long","long","long","There is nothing wrong.",160,4,5,"Male",41,"long_long"
"long","long","long","It's wrong and I can provide a valid reason.",154,1,1,"Female",29,"long_long"
"long","long","long","It's wrong and I can provide a valid reason.",159,1,1,"Male",38,"long_long"
